伝票日付,納期,仕入先コード,仕入先カナ,仕入先名,発注区分,品目コード,品目カナ,品目仕様＊,品目図番＊,数量,単価,金額,機種コード,機種カナ,伝票番号,データ区分
20230207,20230207,633,ｻﾝｷﾝ,サンキン株式会社,補用,3601105,ﾖﾋﾞﾅｴﾀﾞｲﾄﾘﾂｹﾊﾟｲﾌﾟ(4-34201,OPT4-34201-3+B,OPT4-34201-3+B,-40,105.0,-4200,36000.0,OPRA400ﾅｲﾁ ｸﾄﾞｳ ｳｴﾂｹ ｷｮｳﾂ, 00079,52
20230207,20230207,167,ﾔﾏﾄｼｷ,大和紙器株式会社　瀬戸内工場,補用,1313246,ﾀﾞﾝﾎﾞｰﾙ TF21MD,TF21MD-2902(2),TF21MD-2902(2),3,1365.0,4095,13100.0,ﾄﾁ, 00020,51
20230207,20230207,167,ﾔﾏﾄｼｷ,大和紙器株式会社　瀬戸内工場,,1313246,ﾀﾞﾝﾎﾞｰﾙ TF21MD,TF21MD-2902(2),TF21MD-2902(2),101,1365.0,137865,13100.0,ﾄﾁ, 00019,51
20230207,20230207,546,ﾆﾎﾝﾊﾟｰｶｰﾗｲｼﾞ,株式会社日本パーカーライジング　広島工場,,3026376,ﾀﾃｵｸﾘ ｶﾗｰ,LT-3205(1)+A,LT-3205(1)+A,405,3.86,1564,30200.0,LTD3F, 53998,51
20230207,20230207,153,ﾋｶﾘｼﾙｸ,有限会社ヒカリシルク,,4032169,ﾌﾞﾗｼﾀｶｻﾏｰｸ,OC1-7104,OC1-7104,120,78.0,9360,40300.0,RC-20 ｼﾞｮｳﾖｳﾁｮｯﾊﾟｰｹｲﾖｳｷ, 52997,51
20230207,20230207,153,ﾋｶﾘｼﾙｸ,有限会社ヒカリシルク,,4032167,ﾒｲｼｮｳﾏｰｸ,OC1-7102,OC1-7102,30,420.0,12600,40300.0,RC-20 ｼﾞｮｳﾖｳﾁｮｯﾊﾟｰｹｲﾖｳｷ, 52996,51
20230207,20230207,153,ﾋｶﾘｼﾙｸ,有限会社ヒカリシルク,,4032171,ﾊｿﾝｹｲｺｸﾏｰｸ,OC1-7111,OC1-7111,120,84.0,10080,40300.0,RC-20 ｼﾞｮｳﾖｳﾁｮｯﾊﾟｰｹｲﾖｳｷ, 52998,51
20230207,20230207,153,ﾋｶﾘｼﾙｸ,有限会社ヒカリシルク,,4032172,ｶﾘﾊﾞｹｲｺｸﾏｰｸ,OC1-7112,OC1-7112,60,228.0,13680,40300.0,RC-20 ｼﾞｮｳﾖｳﾁｮｯﾊﾟｰｹｲﾖｳｷ, 52999,51
20230207,20230207,153,ﾋｶﾘｼﾙｸ,有限会社ヒカリシルク,,4032174,ﾉﾙﾅﾏｰｸ,OC1-7114,OC1-7114,60,66.0,3960,40300.0,RC-20 ｼﾞｮｳﾖｳﾁｮｯﾊﾟｰｹｲﾖｳｷ, 53001,51
20230207,20230207,153,ﾋｶﾘｼﾙｸ,有限会社ヒカリシルク,,4032236,ﾒﾓﾘﾏｰｸ,OC1-7103(1),OC1-7103(1),60,360.0,21600,40300.0,RC-20 ｼﾞｮｳﾖｳﾁｮｯﾊﾟｰｹｲﾖｳｷ, 53004,51
20230207,20230207,153,ﾋｶﾘｼﾙｸ,有限会社ヒカリシルク,,4032238,ｶﾀｼｷﾏｰｸ ｸﾎﾞﾀ,OC1-9691,OC1-9691,30,96.0,2880,40300.0,RC-20 ｼﾞｮｳﾖｳﾁｮｯﾊﾟｰｹｲﾖｳｷ, 53006,51
20230207,20230207,153,ﾋｶﾘｼﾙｸ,有限会社ヒカリシルク,,4032237,ｶﾀｼｷﾏｰｸ ﾐﾉﾙ,OC1-7101(1),OC1-7101(1),30,108.0,3240,40300.0,RC-20 ｼﾞｮｳﾖｳﾁｮｯﾊﾟｰｹｲﾖｳｷ, 53005,51
20230207,20230207,153,ﾋｶﾘｼﾙｸ,有限会社ヒカリシルク,,3034924,ｷﾀｲﾂﾘｲﾁﾏｰｸ,RXA60AM-51102,RXA60AM-51102,240,60.0,14400,30300.0,LPRH-6, 52947,51
20230207,20230207,62,ｾｲｺｳｼﾔ,㈱精巧社,,7000096,ﾏｰｸ(1､ｸﾎﾞﾀ),5K275-61851,5K275-61851,60,59.4,3564,70000.0,KP-201(ﾍﾞｼﾞﾗｲﾀﾞｰ), 52494,51
20230207,20230207,62,ｾｲｺｳｼﾔ,㈱精巧社,,4032230,ﾒｲｼｮｳﾏｰｸ･ｸﾎﾞﾀ,OC1-9671,OC1-9671,30,107.8,3234,40300.0,RC-20 ｼﾞｮｳﾖｳﾁｮｯﾊﾟｰｹｲﾖｳｷ, 52492,51
20230207,20230207,153,ﾋｶﾘｼﾙｸ,有限会社ヒカリシルク,,4032173,ｾｯｷﾝｹｲｺｸﾏｰｸ,OC1-7113,OC1-7113,180,348.0,62640,40300.0,RC-20 ｼﾞｮｳﾖｳﾁｮｯﾊﾟｰｹｲﾖｳｷ, 53000,51
20230207,20230207,161,ﾑﾛｶﾞﾌｱｽﾅ-,室賀ファスナー株式会社,,30205392,ﾀﾃｵｸﾘﾂﾞﾒ ｳｴ ｼﾞｸ(H11/8),X4-3209-2,X4-3209-2,8,39.0,312,30200.0,LTD3F, 53207,51
20230207,20230207,122,ﾐﾂﾎﾞｼﾍﾞﾙﾄ,三ツ星ベルト販賣株式会社,,3460003,ﾅｴｱﾝﾅｲﾊﾞﾝｿﾄ(ﾋﾀﾞﾘ),VPT466-22503L,VPT466-22503L,4,630.0,2520,34600.0,ﾄｼ                PR-4, 52686,51
20230207,20230207,122,ﾐﾂﾎﾞｼﾍﾞﾙﾄ,三ツ星ベルト販賣株式会社,,3460001,ﾅｴｱﾝﾅｲﾊﾞﾝｳﾁ(ﾋﾀﾞﾘ),VPT466-22504(1)L,VPT466-22504(1)L,4,630.0,2520,34600.0,ﾄｼ                PR-4, 52684,51
20230207,20230207,122,ﾐﾂﾎﾞｼﾍﾞﾙﾄ,三ツ星ベルト販賣株式会社,,3460004,ﾅｴｱﾝﾅｲﾊﾞﾝｿﾄ(ﾐｷﾞ),VPT466-22503R,VPT466-22503R,4,630.0,2520,34600.0,ﾄｼ                PR-4, 52687,51
